# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29023
#@/user_id	Win10-weasel
cai jing 	財經	c=1 d=1 t=6329
cai li mei you yi di you 	菜裏沒有一滴油	c=1 d=1 t=11233
cai neng 	才能	c=15 d=0.444907 t=29023
cai neng gou 	才能夠	c=2 d=1.00001 t=20094
cai qu 	採取	c=2 d=1 t=15752
cai shi 	纔是	c=9 d=1.00948 t=29023
cai shi de 	纔是的	c=1 d=1 t=27845
cai shi ge 	纔是個	c=1 d=1 t=12541
cai suan shi 	纔算是	c=2 d=1 t=22328
cai wu bu 	財務部	c=1 d=1 t=15806
cai xin 	菜心	c=1 d=1 t=1123
cai xing 	才行	c=4 d=1 t=25852
cai yi 	才藝	c=2 d=1 t=8758
